iter	MAPE	RMSE	R2	MAE
0	0.05428084402	0.9231904938	0.05696139828	0.7335895193
1	0.05267176616	0.8972350993	0.10924282	0.7117750575
2	0.05112871597	0.8722371167	0.1581863773	0.6908838776
3	0.04962144781	0.8477972406	0.2047002976	0.6704367608
4	0.04816999872	0.8241293145	0.2484851835	0.6507599296
5	0.0467721629	0.8014003149	0.2893662328	0.6318195535
6	0.04545990107	0.7798292492	0.3271072282	0.6140533118
7	0.04420842865	0.759370341	0.3619509241	0.5970908143
8	0.04295001722	0.7393517478	0.3951481264	0.5801096947
9	0.04175777682	0.7199397751	0.4264924249	0.5639314025
10	0.04064067738	0.7017727699	0.4550710913	0.5488024699
11	0.03958493536	0.6843739202	0.4817566654	0.5345525709
12	0.03852481967	0.6674495244	0.5070717841	0.520160276
13	0.03748132142	0.6509413651	0.5311536242	0.5060523581
14	0.03649068544	0.6352436534	0.5534938016	0.4926320894
15	0.03553506996	0.6203194323	0.5742275124	0.4796779731
16	0.03459880255	0.6054362207	0.5944133782	0.4669690719
17	0.03370608577	0.5910227553	0.6134949017	0.4549042772
18	0.03287927014	0.5775984686	0.6308533864	0.4436996568
19	0.03205038878	0.5642793175	0.6476817928	0.4324406487
20	0.03125029141	0.5516076848	0.6633276592	0.4216182124
21	0.03049112148	0.5394533232	0.6780009665	0.4113615089
22	0.0297806905	0.5283226915	0.6911516037	0.4017293511
23	0.02908766972	0.5172403075	0.7039728493	0.392358133
24	0.02842868308	0.506851511	0.7157448685	0.3834342674
25	0.02777455806	0.4965862103	0.7271423506	0.3745812416
26	0.02718615943	0.4869994459	0.7375758756	0.366627171
27	0.02659200722	0.4772382357	0.7479902837	0.3585682882
28	0.02604205271	0.4683527938	0.7572869918	0.3511063155
29	0.02549746113	0.4595261753	0.7663491682	0.3437212475
30	0.02497444368	0.451031246	0.7749079889	0.33663116
31	0.02447437674	0.4431817646	0.7826745502	0.3298778601
32	0.02399001058	0.4354025567	0.7902370547	0.3233020427
33	0.02353983634	0.427829493	0.7974705131	0.3172117589
34	0.02309610859	0.4209450606	0.8039360905	0.3112062593
35	0.02267757328	0.4143714324	0.8100118841	0.3055173612
36	0.02228221508	0.4076792016	0.8160990663	0.3001688946
37	0.0218975404	0.4014995386	0.8216320079	0.2949921634
38	0.02149239045	0.3952578027	0.8271347389	0.2895307092
39	0.02113146359	0.3895743143	0.8320703231	0.2846402756
40	0.02078011752	0.3836778684	0.8371152897	0.2798634961
41	0.02042877732	0.3780604638	0.8418499447	0.2751362249
42	0.02012764472	0.3729143132	0.8461261118	0.271055816
43	0.01983632463	0.3678799221	0.8502527022	0.2671295717
44	0.019561816	0.3632329129	0.854011983	0.2634181641
45	0.01927340032	0.3585661129	0.8577391796	0.2595121407
46	0.01900419824	0.354431634	0.8610009678	0.2558639242
47	0.01872994515	0.3501875766	0.8643098595	0.2521017861
48	0.01847652877	0.3459771812	0.8675531193	0.2486868164
49	0.01823381947	0.341796894	0.8707343762	0.2453964556
50	0.01801632062	0.3381163697	0.8735032938	0.2424393362
51	0.01778451017	0.3345601045	0.8761502527	0.2392885179
52	0.01759343144	0.3310957567	0.8787018849	0.2367057553
53	0.01739598073	0.3275530146	0.8812837898	0.2340282518
54	0.01720890182	0.3243548396	0.8835907243	0.2314934357
55	0.01700653818	0.3209983751	0.8859874943	0.2287654886
56	0.01682373038	0.3179903784	0.8881142489	0.2262707851
57	0.01664882694	0.3151671138	0.8900921755	0.2238985962
58	0.01646476369	0.3122008321	0.8921512949	0.2213742768
59	0.01631452445	0.3093518807	0.8941106351	0.2193556799
60	0.01616597835	0.3066980787	0.8959196046	0.2173809072
61	0.0160446568	0.3044290475	0.8974539349	0.215717731
62	0.01590651587	0.3020599986	0.8990437397	0.2138395666
63	0.01576462741	0.2996035427	0.9006790851	0.2119255698
64	0.01563203757	0.2972560337	0.9022294226	0.2101541536
65	0.01551768942	0.2949940791	0.9037117218	0.2086086446
66	0.01539467678	0.2927821332	0.9051502995	0.2069504318
67	0.0152800009	0.2908462789	0.9064004316	0.2053777732
68	0.01516987032	0.2888611067	0.9076737993	0.2038700989
69	0.01507525265	0.2870504389	0.9088276282	0.2026057147
70	0.01496080758	0.285046317	0.9100962742	0.2010680384
71	0.0148647161	0.2832399927	0.9112320947	0.1997502264
72	0.01478124105	0.2815746707	0.9122728557	0.1986278723
73	0.01467382107	0.2799482902	0.9132833561	0.1971577275
74	0.01459692349	0.2784558511	0.914205486	0.1961330813
75	0.01451191191	0.2770001951	0.9151001403	0.1949777683
76	0.01443887022	0.2756019872	0.9159550716	0.1939810118
77	0.01436716286	0.2742276252	0.9167912059	0.1929976203
78	0.01430353768	0.2730135952	0.9175263205	0.192138538
79	0.01423324056	0.2715842603	0.9183876251	0.1911950754
80	0.01417639697	0.2704763203	0.9190521494	0.1904467423
81	0.01411565301	0.2692829987	0.9197648457	0.1896334991
82	0.01405599347	0.2681575465	0.9204341202	0.1888032734
83	0.01399684574	0.2669059909	0.9211750931	0.18801913
84	0.01394099985	0.2658324795	0.9218078947	0.1872545591
85	0.01389252307	0.2647540828	0.9224410082	0.1866232699
86	0.01383660714	0.2636845361	0.9230663841	0.1858785654
87	0.01378560482	0.2627115192	0.9236331188	0.1851957524
88	0.01374367303	0.2617150572	0.9242113377	0.1846321908
89	0.01370210715	0.2608116377	0.9247336674	0.1840717938
90	0.01363852212	0.2597645983	0.9253367742	0.1831876484
91	0.01358216495	0.2588336056	0.9258709991	0.1824095684
92	0.01353166801	0.2579133834	0.9263971587	0.1817435266
93	0.01347208781	0.2570140155	0.9269095836	0.1809224683
94	0.01342846362	0.2560999377	0.9274285554	0.1803445761
95	0.01339519416	0.2553351742	0.9278613328	0.1799005232
96	0.01336046821	0.2546679608	0.9282378496	0.1794175613
97	0.01332148217	0.2538630546	0.9286907571	0.1789121534
98	0.01329114022	0.2532276675	0.9290472665	0.178506195
99	0.01326127939	0.2525506658	0.9294261422	0.1781095031
100	0.01322195622	0.2517814446	0.9298553965	0.1775821051
101	0.01319170001	0.2511434264	0.9302104412	0.1771770875
102	0.0131515376	0.2503942615	0.930626187	0.1766144283
103	0.01312366054	0.2497608235	0.9309767415	0.1762426201
104	0.01308434402	0.2490218343	0.9313845875	0.1757181854
105	0.01305003999	0.248276942	0.9317944685	0.175263818
106	0.01300817882	0.2476130353	0.9321587517	0.1746990666
107	0.01296982608	0.2468881783	0.9325553644	0.1741539058
108	0.01294647145	0.2463555968	0.9328460305	0.17384617
109	0.01291487243	0.2457781922	0.9331604506	0.1734137428
110	0.01289136853	0.2452379586	0.9334539614	0.1731053303
111	0.01286346042	0.2446053983	0.9337968129	0.1727435405
112	0.01282870609	0.2440444355	0.9341001172	0.172265934
113	0.01279030183	0.2433624683	0.934467909	0.1717499331
114	0.01275274232	0.2427616037	0.9347911084	0.1712359134
115	0.01272681231	0.2422812042	0.935048936	0.1708826124
116	0.01269235678	0.2417198112	0.9353495853	0.1703956645
117	0.01266645579	0.2411992406	0.9356277492	0.1700324244
118	0.01263638012	0.2406109505	0.9359413768	0.1696363621
119	0.01260935813	0.2400515129	0.9362389122	0.169274102
120	0.01259019935	0.2396489047	0.9364526098	0.1690277062
121	0.01256250478	0.2391144008	0.9367357611	0.1686548626
122	0.01253947438	0.2386681755	0.936971663	0.1683481627
123	0.01250850983	0.2381221466	0.9372597275	0.1679249907
124	0.01248133472	0.2376884581	0.9374880554	0.1675508698
125	0.01244481944	0.2371725817	0.9377591114	0.1670415222
126	0.01241647032	0.2366702577	0.9380224806	0.166652164
127	0.01240322457	0.2363180283	0.938206822	0.1664851193
128	0.01237355743	0.2358354234	0.9384589503	0.1660706132
129	0.01233744404	0.2352395668	0.938769534	0.1655626968
130	0.01232693629	0.2349350085	0.9389279782	0.1654218643
131	0.01230260673	0.2345412593	0.9391325191	0.1650816226
132	0.01228950823	0.2342167911	0.9393008128	0.164915052
133	0.01227063805	0.2338706858	0.9394800722	0.1646469123
134	0.01224907067	0.233500681	0.9396714169	0.1643460742
135	0.01222652365	0.2330798067	0.9398886999	0.1640481337
136	0.01220861476	0.232675524	0.9400970481	0.1638137578
137	0.01219828609	0.2323848678	0.9402466151	0.1636806467
138	0.01218581282	0.2320639788	0.9404115223	0.1635092932
139	0.01216193755	0.2316605176	0.9406185406	0.1631902676
140	0.01214701674	0.2314031115	0.9407504289	0.1629893772
141	0.01213638944	0.2311446616	0.9408827045	0.1628556656
142	0.01212459376	0.2308488775	0.9410339065	0.1626983882
143	0.01211084055	0.2305592905	0.941181753	0.1625192904
144	0.01209971091	0.2303092914	0.941309239	0.1623699654
145	0.01209192262	0.2301061581	0.9414127241	0.1622624987
146	0.0120814684	0.2298702051	0.9415328144	0.1621227374
147	0.01206768398	0.2295635895	0.9416886849	0.1619415148
148	0.01205150264	0.2292971459	0.9418239647	0.1617175392
149	0.01202184653	0.2287954645	0.9420782541	0.1613038272
150	0.01199630569	0.228371932	0.9422924981	0.1609454501
151	0.01199001739	0.2281639307	0.9423975703	0.160863385
152	0.01197588508	0.2279084288	0.9425265065	0.1606761001
153	0.01196747159	0.2276693361	0.942647031	0.1605646688
154	0.0119572854	0.2274590848	0.9427529124	0.1604327493
155	0.01194390133	0.2272624149	0.9428518657	0.1602489017
156	0.01192771632	0.2270115265	0.9429779744	0.1600182594
157	0.01191719593	0.226772121	0.9430981814	0.1598762878
158	0.01190724466	0.2265494866	0.9432098537	0.1597516322
159	0.01187994814	0.2261015528	0.9434342028	0.1593706192
160	0.01186442808	0.2258308819	0.9435695539	0.1591570579
161	0.01185019773	0.2255863475	0.9436916959	0.1589587008
162	0.01183863929	0.225334625	0.94381729	0.1588032144
163	0.01182824727	0.2251179342	0.9439252931	0.158662156
164	0.01181539233	0.2249155007	0.9440260962	0.1584825969
165	0.01180340711	0.224674632	0.9441459203	0.1583130979
166	0.01177593864	0.2242397477	0.9443619354	0.1579305871
167	0.01176397882	0.2239850354	0.9444882613	0.1577732584
168	0.01175521896	0.2237570133	0.9446012283	0.1576593337
169	0.0117360819	0.22343145	0.9447623199	0.1573931213
170	0.01171350806	0.2230290279	0.9449611178	0.1570826564
171	0.0117008615	0.2228515006	0.9450487029	0.1569090429
172	0.01169395734	0.2226727051	0.9451368432	0.1568268484
173	0.01167596484	0.2223728436	0.9452845063	0.1565812372
174	0.01164942494	0.2219436405	0.9454955159	0.156223505
175	0.01162393116	0.2215384964	0.9456943233	0.1558843732
176	0.01161001475	0.2213464948	0.9457884131	0.1556967565
177	0.01160402816	0.2211695801	0.9458750374	0.1556227546
178	0.01159503911	0.2209604239	0.945977359	0.1554956676
179	0.01157837033	0.220696771	0.9461062032	0.15526786
180	0.01156941807	0.2205137685	0.946195544	0.1551426707
181	0.01156091002	0.2203510082	0.9462749403	0.155033942
182	0.01155154848	0.2202214324	0.946338107	0.1549022271
183	0.01154575966	0.2200479446	0.9464226221	0.1548294625
184	0.01153257515	0.2197936398	0.946546387	0.1546487997
185	0.01152783908	0.2196631794	0.9466098239	0.1545874618
186	0.01151358553	0.2193876048	0.9467436993	0.154388227
187	0.01149853631	0.2191459788	0.9468609441	0.1541782847
