iter	Passed	Remaining
0	8	43279
1	16	41727
2	24	41116
3	32	40644
4	40	40474
5	49	41312
6	57	41287
7	66	41563
8	74	41305
9	81	40778
10	89	40576
11	97	40340
12	104	40082
13	111	39878
14	119	39668
15	127	39628
16	134	39534
17	141	39294
18	149	39160
19	156	39035
20	164	38977
21	171	38883
22	179	38843
23	187	38778
24	194	38678
25	201	38628
26	209	38506
27	216	38403
28	223	38356
29	230	38262
30	238	38175
31	245	38108
32	252	38004
33	259	37913
34	267	37876
35	274	37838
36	281	37747
37	288	37671
38	295	37607
39	303	37598
40	310	37556
41	317	37507
42	325	37483
43	332	37419
44	339	37338
45	346	37287
46	353	37250
47	360	37212
48	367	37152
49	374	37081
50	381	37042
51	388	37008
52	396	36975
53	403	36917
54	410	36896
55	417	36857
56	424	36798
57	431	36770
58	438	36747
59	446	36725
60	453	36687
61	460	36639
62	466	36592
63	474	36557
64	480	36514
65	487	36462
66	494	36398
67	501	36357
68	508	36338
69	515	36310
70	522	36267
71	529	36217
72	535	36169
73	542	36121
74	549	36102
75	557	36088
76	563	36049
77	571	36034
78	578	36019
79	585	36014
80	593	36014
81	600	36005
82	607	36006
83	615	36015
84	622	35993
85	630	36038
86	637	36015
87	645	36016
88	653	36037
89	660	36017
90	667	36004
91	675	36023
92	682	35994
93	690	36014
94	698	36054
95	705	36031
96	712	36016
97	719	36002
98	727	36014
99	734	35999
100	742	36003
101	749	35994
102	756	35988
103	764	35967
104	771	35963
105	778	35953
106	785	35936
107	793	35960
108	800	35932
109	808	35936
110	815	35924
111	824	35991
112	831	35964
113	838	35954
114	845	35922
115	853	35926
116	860	35927
117	868	35920
118	876	35933
119	883	35930
120	890	35900
121	897	35901
122	906	35954
123	913	35931
124	921	35940
125	928	35921
126	935	35893
127	942	35875
128	951	35909
129	959	35930
130	966	35919
131	973	35912
132	981	35900
133	988	35879
134	995	35867
135	1001	35835
136	1009	35819
137	1017	35849
138	1024	35835
139	1032	35847
140	1040	35847
141	1048	35867
142	1056	35873
143	1064	35901
144	1072	35898
145	1080	35937
146	1088	35924
147	1095	35917
148	1103	35915
149	1111	35950
150	1119	35956
151	1127	35954
152	1135	35959
153	1143	35969
154	1150	35963
155	1158	35959
156	1165	35960
157	1173	35974
158	1181	35978
159	1190	36011
160	1198	36014
161	1207	36062
162	1215	36065
163	1223	36080
164	1231	36075
165	1238	36072
166	1246	36065
167	1253	36051
168	1260	36042
169	1268	36030
170	1275	36023
171	1282	36012
172	1290	36004
173	1298	36003
174	1305	36001
175	1313	36008
176	1321	36007
177	1328	35993
178	1335	35969
179	1344	35993
180	1351	35984
181	1359	35991
182	1367	35985
183	1375	35991
184	1382	35981
185	1389	35970
186	1397	35963
187	1405	35975
188	1413	35980
189	1421	35979
190	1428	35971
191	1437	35994
192	1444	35987
193	1452	35981
194	1459	35974
195	1467	35960
196	1474	35950
197	1482	35959
198	1490	35958
199	1498	35962
200	1505	35947
201	1513	35939
202	1520	35936
203	1527	35919
204	1535	35916
205	1543	35910
206	1550	35899
207	1558	35904
208	1567	35932
209	1575	35940
210	1583	35947
211	1592	35959
212	1600	35973
213	1608	35965
214	1615	35955
215	1623	35947
216	1630	35942
217	1638	35942
218	1645	35926
219	1654	35940
220	1661	35923
221	1669	35925
222	1676	35912
223	1684	35913
224	1691	35901
225	1699	35908
226	1707	35907
227	1716	35916
228	1723	35909
229	1731	35906
230	1738	35883
231	1746	35885
232	1753	35866
233	1761	35870
234	1768	35858
235	1776	35864
236	1784	35856
237	1792	35857
238	1800	35861
239	1807	35849
240	1814	35838
241	1821	35814
242	1828	35791
243	1835	35778
244	1843	35775
245	1850	35769
246	1858	35767
247	1866	35755
248	1873	35739
249	1879	35718
250	1887	35707
251	1894	35699
252	1901	35684
253	1908	35666
254	1915	35649
255	1922	35634
256	1930	35628
257	1938	35629
258	1947	35640
259	1956	35662
260	1963	35653
261	1971	35655
262	1979	35649
263	1987	35660
264	1994	35645
265	2003	35651
266	2011	35656
267	2019	35665
268	2027	35656
269	2035	35659
270	2042	35648
271	2050	35643
272	2057	35633
273	2065	35633
274	2073	35624
275	2080	35617
276	2088	35604
277	2096	35606
278	2104	35608
279	2112	35605
280	2119	35600
281	2128	35613
282	2136	35605
283	2143	35592
284	2151	35586
285	2158	35571
286	2166	35570
287	2172	35551
288	2179	35535
289	2186	35518
290	2194	35512
291	2201	35499
292	2208	35486
293	2216	35486
294	2224	35477
295	2231	35467
296	2239	35455
297	2247	35455
298	2254	35440
299	2261	35424
300	2268	35407
301	2275	35391
302	2282	35386
303	2290	35382
304	2298	35374
305	2304	35355
306	2311	35339
307	2319	35329
308	2326	35320
309	2333	35301
310	2341	35296
311	2348	35288
312	2355	35278
313	2362	35263
314	2370	35254
315	2377	35244
316	2385	35241
317	2392	35228
318	2399	35214
319	2406	35202
320	2414	35187
321	2421	35180
322	2429	35173
323	2436	35164
324	2444	35164
325	2451	35153
326	2459	35150
327	2466	35137
328	2474	35130
329	2482	35124
330	2489	35117
331	2496	35105
332	2504	35096
333	2511	35082
334	2518	35071
335	2525	35061
336	2533	35056
337	2540	35040
338	2547	35026
339	2555	35027
340	2562	35014
341	2570	35011
342	2577	34999
343	2585	34994
344	2593	34987
345	2600	34977
346	2608	34971
347	2615	34961
348	2622	34952
349	2630	34945
350	2637	34931
351	2645	34930
352	2654	34950
353	2662	34941
354	2669	34924
355	2676	34910
356	2683	34898
357	2690	34889
358	2698	34883
359	2705	34872
360	2712	34861
361	2720	34849
362	2727	34837
363	2734	34825
364	2741	34816
365	2748	34801
366	2755	34791
367	2763	34785
368	2771	34779
369	2778	34769
370	2786	34762
371	2792	34747
372	2799	34730
373	2806	34715
374	2813	34704
375	2821	34693
376	2828	34679
377	2835	34667
378	2842	34655
379	2849	34647
380	2857	34642
381	2865	34638
382	2872	34625
383	2879	34613
384	2886	34599
385	2893	34590
386	2900	34576
387	2908	34571
388	2915	34559
389	2923	34552
390	2930	34540
391	2937	34528
392	2945	34529
393	2953	34521
394	2960	34518
395	2968	34511
396	2975	34500
397	2983	34492
398	2990	34479
399	2997	34468
400	3004	34462
401	3012	34455
402	3020	34451
403	3028	34447
404	3035	34440
405	3042	34428
406	3050	34421
407	3057	34410
408	3064	34397
409	3071	34388
410	3078	34378
411	3086	34369
412	3094	34364
413	3101	34353
414	3108	34346
415	3116	34342
416	3123	34333
417	3131	34323
418	3138	34309
419	3145	34295
420	3152	34286
421	3159	34277
422	3167	34269
423	3174	34260
424	3182	34254
425	3189	34249
426	3196	34235
427	3204	34227
428	3211	34218
429	3219	34212
430	3225	34197
431	3232	34185
432	3240	34175
433	3247	34165
434	3254	34155
435	3261	34144
436	3269	34137
437	3276	34123
438	3283	34116
439	3290	34106
440	3298	34097
441	3305	34086
442	3312	34077
443	3319	34064
444	3327	34055
445	3333	34042
446	3341	34038
447	3348	34025
448	3355	34013
449	3362	34000
450	3369	33989
451	3377	33979
452	3384	33968
453	3391	33960
454	3398	33950
455	3406	33941
456	3413	33933
457	3420	33925
458	3428	33915
459	3435	33908
460	3442	33895
461	3449	33881
462	3456	33867
463	3463	33858
464	3470	33848
465	3478	33842
466	3485	33831
467	3492	33823
468	3500	33814
469	3507	33803
470	3514	33792
471	3521	33782
472	3529	33775
473	3536	33765
474	3544	33767
475	3552	33762
476	3559	33752
477	3566	33743
478	3574	33737
479	3581	33729
480	3589	33726
481	3596	33715
482	3604	33707
483	3611	33698
484	3618	33687
485	3626	33680
486	3633	33671
487	3640	33658
488	3648	33652
489	3655	33643
490	3662	33634
491	3669	33623
492	3676	33613
493	3684	33606
494	3691	33592
495	3698	33581
496	3704	33567
497	3711	33556
498	3719	33546
499	3726	33534
500	3733	33527
501	3741	33521
502	3748	33516
503	3755	33502
504	3762	33489
505	3769	33479
506	3777	33471
507	3783	33459
508	3791	33451
509	3797	33437
510	3805	33427
511	3812	33417
512	3819	33404
513	3826	33395
514	3833	33385
515	3840	33375
516	3847	33362
517	3854	33350
518	3861	33340
519	3868	33331
520	3875	33319
521	3882	33310
522	3890	33303
523	3897	33295
524	3904	33285
525	3912	33274
526	3918	33262
527	3926	33252
528	3933	33244
529	3940	33235
530	3948	33229
531	3955	33220
532	3963	33213
533	3970	33203
534	3977	33193
535	3984	33182
536	3991	33176
537	3999	33170
538	4007	33164
539	4014	33155
540	4021	33143
541	4028	33132
542	4035	33123
543	4042	33114
544	4049	33104
545	4057	33095
546	4064	33088
547	4071	33079
548	4078	33070
549	4087	33073
550	4096	33073
551	4103	33064
552	4110	33055
553	4118	33049
554	4125	33040
555	4132	33029
556	4139	33021
557	4147	33017
558	4154	33005
559	4161	32994
560	4168	32982
561	4176	32977
562	4183	32967
563	4190	32960
564	4197	32949
565	4204	32939
566	4211	32930
567	4219	32921
568	4226	32912
569	4233	32903
570	4241	32898
571	4248	32885
572	4255	32876
573	4262	32866
574	4269	32857
575	4277	32849
576	4284	32840
577	4293	32850
578	4302	32855
579	4310	32847
580	4317	32838
581	4324	32830
582	4332	32823
583	4340	32819
584	4347	32809
585	4354	32800
586	4362	32793
587	4369	32785
588	4376	32774
589	4383	32764
590	4390	32755
591	4398	32748
592	4405	32743
593	4413	32734
594	4420	32725
595	4427	32719
596	4435	32710
597	4442	32701
